Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-04-24,Quarta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-25,Quinta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-26,Sexta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-27,Sábado,Abril,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-28,Domingo,Abril,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-29,Segunda-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-30,Terça-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-01,Quarta-feira,Maio,2013,Dia do Trabalho,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-02,Quinta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-03,Sexta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-04,Sábado,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-05,Domingo,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-06,Segunda-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-07,Terça-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
