Data inicial;Salario Base
06/03/2013;1
01/07/2013;1,087743219
01/11/2013;1,16224941
01/03/2014;1,261224941
01/11/2014;1,341185142
01/03/2015;1,381419517
01/11/2015;1,524122936
01/12/2015;1,571388561
01/07/2016;1,587102005
01/11/2016;1,722007665
01/09/2017;1,808107311
01/11/2017;1,841192512
01/07/2018;2,98853921
01/09/2018;3,024557783
01/11/2018;3,145540979
01/11/2019;3,225751769
01/10/2020;3,290271226
01/11/2020;3,447214033
